subjectNo,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,beatScore,melodicScore,ravensScoreA,ravensScoreB,ravensScoreC,ravenAge,ravenSex,ravenHand,ravenHearing,ravenVision,V1,nsTotalScore,nsAttempted,nsTotalTime,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanscore,symSspanTotal,symSspanPartialScore,symSspanPartialScoreBlock1,symSspanPartialScoreBlock2,symSspanPartialScoreBlock3,symSspanAbsoluteScore,symSymmetryCorrect,MathErrorTotal,OspanScore,OspanTotal,SpeedErrorTotal,AccErrorTotal,OspanPartialScore,OspanPartialBlock1,OspanPartialBlock2,OspanPartialBlock3,OspanAbsoluteScore,MathCorrect,tSpanPartialScore,tsMathErrorTotal,tspanPartialBlock1,tspanPartialBlock2,tspanPartialBlock3,tsAccErrorTotal,tsSpeedErrorTotal,tsAbsoluteScore,tsStrats
549,39,52,30,35,32,92,4,6,2,4,3,5,7,7,5,7,5,6,4,6,5,8,6,1,1,1,1,1,1,2,2,1,Voice,20,MALE,1,,5,4,5,6,3,5,5,3,3,5,6,5,5,6,7,7,6,5,6,6,3,3,2,4,6,5,6,6,6,5,4,3,5,5,6,5,6,5,14,11,11,9,9,20,male,right,No,Normal,121,13,15,4,2,0,2,,,33,11,12,10,27,46,2,,,1,1,75,25,25,25,75,79,72,8,24,25,23,7,1,61,No Data Collected
550,46,59,46,35,32,102,6,7,4,5,6,1,7,4,7,7,7,5,4,7,9,8,6,2,2,4,2,2,4,3,1,3,Tenor Trombone,22,MALE,1,,5,3,6,5,6,5,6,7,3,7,7,6,6,6,7,7,6,7,7,7,7,6,5,7,7,6,3,6,6,6,6,2,5,1,7,5,7,7,16,7,10,10,10,22,male,right,No,Normal,122,9,15,5,1,1,0,,,31,6,14,11,25,46,5,,,2,3,68,23,22,23,47,75,70,4,20,25,25,3,1,64,No Data Collected
551,54,57,34,44,38,103,6,7,5,6,6,7,7,5,6,6,7,6,6,6,9,6,8,1,1,1,1,1,1,3,1,3,Voice,20,MALE,1,,6,4,7,6,6,5,6,7,7,7,7,6,6,6,6,7,6,6,7,6,6,4,2,6,3,6,7,7,7,6,6,5,7,7,6,5,6,7,13,6,12,10,12,20,male,right,No,Corrected to Normal,123,11,14,5,4,1,3,,,34,12,11,11,23,44,3,,,0,3,74,24,25,25,68,78,74,1,25,24,25,1,0,68,No Data Collected
552,47,52,35,31,34,90,4,7,3,3,4,7,7,4,4,7,6,5,1,5,7,8,6,2,2,1,2,2,1,2,2,1,Trombone,18,MALE,1,,6,3,5,6,6,6,6,6,3,6,6,6,6,6,6,6,5,5,6,7,5,3,5,6,3,5,6,6,5,2,5,2,6,6,6,5,5,6,16,13,9,9,9,18,male,right,No,Normal,124,11,13,5,3,1,2,,,34,13,9,12,27,45,5,,,2,3,73,25,25,23,68,76,71,2,25,24,22,1,1,61,No Data Collected
553,45,50,40,25,32,92,5,5,1,5,5,6,6,2,5,7,7,5,7,7,3,2,6,2,2,1,1,1,1,2,2,2,French Horn,18,Male,1,,7,2,6,7,4,6,4,5,4,6,7,6,5,4,7,7,4,4,7,7,6,7,2,6,5,5,6,5,3,1,4,1,5,7,6,5,4,5,13,8,8,7,8,18,male,right,No,Normal,125,8,13,5,0,0,0,,,33,7,12,14,25,48,6,,,5,1,74,25,25,24,68,73,55,3,17,18,20,1,2,34,No Data Collected
554,39,55,33,33,24,87,6,5,2,5,3,7,6,4,5,6,6,6,5,6,4,8,5,2,2,1,1,1,1,2,2,1,French Horn,18,MALE,1,,6,2,5,5,5,4,5,5,2,6,7,6,6,5,7,6,6,6,6,7,3,4,5,5,3,5,5,6,3,5,6,3,3,3,5,5,3,5,15,9,10,8,10,18,male,right,No,Corrected to Normal,126,13,15,5,1,0,1,,,36,13,13,10,28,47,1,,,0,1,61,21,21,19,39,80,64,0,19,20,25,0,0,56,No Data Collected
555,47,56,41,40,36,111,5,6,2,5,6,5,4,6,6,6,5,5,6,6,7,6,6,3,1,5,3,1,5,3,1,5,flute and voice,18,FEMALE,1,,7,6,6,6,3,6,6,4,3,7,6,6,6,5,6,7,7,6,7,7,7,6,5,6,3,6,7,6,7,6,5,3,5,6,6,6,7,6,10,8,8,9,10,18,female,right,No,Corrected to Normal,127,9,13,5,0,0,0,,,28,11,7,10,24,48,9,,,3,6,51,23,14,14,34,72,59,4,19,21,19,4,0,33,No Data Collected
556,48,61,32,44,42,105,7,5,2,6,2,1,7,1,7,6,7,2,6,6,5,5,5,1,1,1,1,1,1,1,1,1,Bass Clarinet ,22,Male,1,,5,4,7,7,3,7,7,5,3,7,7,7,7,6,7,7,6,7,7,6,4,5,1,6,3,6,7,7,7,3,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,5,4,1,,,25,9,6,10,9,43,,,,,,,,,,,,43,10,11,13,19,7,3,15,No Data Collected
700,51,54,35,34,33,97,7,7,1,4,4,5,5,1,3,7,4,5,4,5,4,8,8,2,2,1,2,2,1,2,2,1,bassoon,20,MALE,1,,7,5,5,6,5,6,5,7,5,5,7,7,6,5,7,6,6,5,6,7,4,6,4,4,4,2,6,6,5,6,5,4,7,6,4,4,5,7,16,9,11,10,11,20,male,right,No,Normal,128,14,15,5,0,0,0,,,39,12,13,14,34,48,2,,,1,1,64,23,19,22,46,79,65,4,20,25,20,3,1,50,No Data Collected
701,52,52,40,33,37,104,6,5,5,4,6,4,5,6,7,6,6,5,4,5,2,5,8,1,1,1,1,1,1,2,2,1,bassoon,18,FEMALE,1,,6,7,5,6,6,7,7,5,3,6,7,4,6,5,6,6,6,6,7,7,6,6,2,6,6,5,4,6,6,2,6,4,6,7,7,5,5,7,15,11,8,7,8,18,female,right,No,Corrected to Normal,129,10,14,5,1,1,0,,,34,11,13,10,24,46,6,,,4,2,73,23,25,25,68,75,66,5,22,19,25,3,2,50,No Data Collected
702,42,46,36,31,36,92,7,6,4,4,3,6,6,4,5,5,5,3,4,5,3,2,2,2,2,1,1,1,1,2,2,1,Trumpet,18,MALE,1,,6,4,4,6,5,6,5,5,1,5,6,5,5,4,7,6,4,4,7,7,6,3,2,6,5,5,7,3,3,6,4,3,6,6,6,5,6,7,9,8,9,4,7,18,male,right,No,Corrected to Normal,130,11,15,5,0,0,0,,,36,13,11,12,27,47,3,,,3,0,68,21,22,25,63,77,66,5,22,22,22,5,0,56,No Data Collected
703,52,55,38,32,38,97,7,6,6,6,6,6,6,7,7,6,6,7,5,6,2,4,5,2,2,1,1,1,1,2,2,1,Percussion specifically marimba,18,MALE,1,,7,3,5,6,4,7,6,7,7,6,7,6,5,7,7,7,6,4,7,7,6,5,2,6,5,5,7,6,3,3,5,3,6,7,7,4,7,7,14,11,8,10,11,18,male,right,No,Corrected to Normal,131,12,15,5,2,0,2,,,36,12,11,13,26,44,5,,,1,4,69,21,23,25,55,76,69,10,22,22,25,7,3,61,No Data Collected
704,45,57,32,41,38,100,5,6,5,5,7,4,7,7,4,5,3,4,2,6,5,6,6,2,3,1,1,1,1,2,3,1,voicenvoice,19,FEMALE,1,,7,2,5,6,5,6,6,5,3,7,7,6,5,7,7,7,7,4,7,7,5,3,3,5,2,6,6,7,7,7,5,3,7,7,7,5,6,6,13,8,10,9,11,19,female,right,No,Normal,132,7,10,5,1,1,0,,,28,8,9,11,20,47,6,,,1,5,46,8,16,22,15,74,63,5,19,25,19,5,0,46,No Data Collected
705,56,50,39,32,35,100,7,7,5,5,4,3,7,7,7,7,7,5,1,7,5,8,4,2,3,2,2,3,2,2,3,2,flutenflute,19,FEMALE,1,,7,4,7,7,6,7,7,5,6,5,6,5,5,6,7,6,5,5,7,7,6,6,3,6,4,5,5,6,6,2,6,2,5,6,7,5,6,6,10,10,8,8,9,19,female,right,No,Corrected to Normal,133,10,14,5,4,4,0,,,39,14,11,14,35,44,4,,,2,2,57,17,17,23,26,77,53,10,17,16,20,7,3,39,No Data Collected
706,47,51,39,37,35,101,6,6,4,3,2,4,6,7,7,7,5,5,3,7,5,6,6,3,1,2,3,1,1,3,1,1,Trumpetn,18,Male,1,,7,2,7,7,5,6,4,7,2,6,5,5,6,6,6,6,5,6,6,6,6,7,5,6,3,6,6,6,6,6,5,2,6,5,6,5,6,7,15,7,8,8,7,18,male,right,No,Corrected to Normal,134,10,15,3,0,0,0,,,31,10,12,9,19,48,7,,,4,3,42,7,19,16,26,74,63,5,17,22,24,4,1,51,No Data Collected
707,39,50,34,41,36,96,5,6,3,4,4,5,7,4,6,7,7,5,7,7,9,8,6,2,2,1,2,2,1,2,2,1,Guitar,20,Male,1,na,5,2,5,5,4,5,5,5,3,5,6,5,5,5,7,6,6,5,6,6,5,5,3,5,4,5,7,7,7,5,6,4,7,6,6,5,5,7,13,10,9,10,7,20,male,right,No,Normal,135,8,14,5,1,1,0,,,35,14,12,9,32,47,5,,,0,5,71,23,25,23,56,76,62,3,18,21,23,2,1,45,No Data Collected
708,44,53,40,32,38,96,6,3,5,6,3,5,7,6,4,3,7,5,1,6,8,8,8,2,2,2,1,1,1,2,2,2,Oboe,18,MALE,1,,6,4,5,6,6,7,3,5,2,7,5,6,6,4,7,7,5,6,7,7,6,4,6,6,4,5,7,7,2,3,5,3,6,7,7,5,6,7,15,10,9,7,10,18,male,right,No,Corrected to Normal,136,11,13,5,4,3,1,,,27,6,12,9,15,43,10,,,2,8,58,22,18,18,42,70,50,9,15,17,18,8,1,23,No Data Collected
709,54,51,43,31,37,94,7,4,1,7,6,5,4,2,6,3,6,5,4,5,1,2,3,2,5,1,1,1,1,2,5,1,Piano,18,FEMME,1,,7,2,7,6,6,6,6,7,7,6,7,6,6,5,6,6,3,6,7,7,7,6,6,7,3,3,6,5,5,5,5,2,6,7,6,5,7,6,14,10,10,7,9,18,female,right,No,I forgot my glasses.,137,11,14,5,2,2,0,,,36,13,11,12,27,46,7,,,5,2,67,25,18,24,63,74,61,4,25,21,15,3,1,50,No Data Collected
710,61,61,40,48,38,121,7,6,5,6,5,5,6,7,7,7,4,5,2,6,5,5,6,2,4,1,2,4,1,3,4,5,Voice,18,MALE,1,,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,4,5,3,7,7,7,7,7,7,6,6,7,7,6,6,6,14,7,7,10,7,19,male,right,No,Corrected to Normal,138,8,12,5,3,3,0,,,26,9,11,6,17,40,6,,,3,3,72,24,25,23,58,75,35,7,12,14,9,5,2,4,No Data Collected
711,41,44,34,34,30,91,7,6,5,5,7,4,6,4,5,5,6,6,1,2,5,6,6,2,3,2,2,3,2,3,1,6,voice,18,FEMALE,1,,6,2,5,4,5,7,4,5,3,4,3,5,6,6,5,5,5,5,6,7,6,4,3,6,2,6,6,6,3,6,4,3,4,6,3,5,5,7,9,7,9,11,12,18,female,right,No,Corrected to Normal,139,10,13,5,4,3,1,,,21,7,9,5,7,44,8,,,0,8,58,18,20,20,45,73,49,4,13,16,20,4,0,29,No Data Collected
712,45,44,34,24,26,77,3,6,3,5,5,6,7,5,5,7,6,6,6,5,1,2,2,3,1,4,3,1,3,3,1,3,Saxophone,18,Male,1,,5,3,6,5,5,6,6,3,6,6,6,4,6,3,5,5,4,5,6,2,6,5,6,6,3,2,6,5,3,3,3,2,4,3,7,4,2,6,9,10,10,10,6,18,male,right,No,Corrected to Normal,140,9,13,5,6,4,2,,,11,4,4,3,0,42,8,,,4,4,21,11,5,5,3,73,57,8,17,16,24,4,4,30,No Data Collected
713,43,50,31,35,35,93,4,5,3,5,1,5,4,2,6,5,7,5,4,5,4,2,1,2,2,1,2,2,1,2,2,1,Euphonium,19,MALE,1,,6,2,5,7,5,7,5,3,3,6,6,6,6,6,6,6,3,5,2,7,6,4,1,6,5,7,6,6,6,3,5,2,4,7,7,5,6,6,11,10,9,7,9,19,male,right,No,Normal,141,7,15,5,5,1,4,,,28,9,7,12,16,43,2,,,1,1,68,25,19,24,63,79,59,4,15,19,25,4,0,40,No Data Collected
714,29,51,39,24,31,77,4,3,6,3,7,1,3,2,5,5,6,5,4,6,5,7,6,2,3,1,2,3,1,2,3,1,Bassoon,18,MALE,1,,5,2,5,2,2,5,3,2,3,6,7,5,3,6,7,5,6,6,6,7,5,4,4,6,7,3,5,5,2,2,5,2,6,6,7,3,2,7,11,10,9,9,9,18,male,right,No,Normal,142,12,15,4,3,3,0,,,42,14,14,14,42,45,8,,,3,5,59,20,22,17,33,73,57,5,13,23,21,5,0,50,No Data Collected
715,44,52,39,33,33,95,7,4,1,3,3,6,5,4,4,6,5,4,2,6,4,6,6,2,3,1,2,2,1,2,3,1,TubanTuba,18,MALE,1,,5,4,6,5,3,6,6,6,3,6,6,5,6,5,7,6,6,5,6,7,6,6,3,6,5,4,6,6,4,4,4,5,3,6,6,5,6,7,15,9,8,8,10,18,male,right,No,Normal,143,10,15,5,1,1,0,,,37,13,11,13,31,47,7,,,5,2,65,19,24,22,44,71,75,5,25,25,25,5,0,75,No Data Collected
716,56,51,42,32,38,102,6,7,2,3,4,4,7,4,6,7,7,5,2,7,5,4,8,2,3,1,2,3,1,2,3,3,Clarinet,19,MALE,1,,7,4,5,7,5,7,7,7,7,6,6,5,5,4,7,6,6,6,6,7,7,6,5,4,7,5,7,6,2,3,5,4,6,6,7,5,7,7,15,11,6,8,10,19,male,right,No,Normal,144,7,11,5,2,2,0,,,33,14,9,10,25,45,11,,,5,6,57,15,24,18,45,68,66,5,24,21,21,3,2,54,No Data Collected
717,53,50,35,31,39,94,7,6,4,3,6,5,5,7,7,7,5,4,2,7,2,2,2,2,2,1,2,2,1,2,2,1,Percussion,18,MALE,1,NONE,7,3,6,7,7,7,5,5,6,7,6,5,6,5,7,5,4,5,7,6,4,6,3,5,4,2,6,5,6,3,5,4,6,7,6,6,7,7,12,8,7,8,9,18,male,right,Yes,Normal,145,8,14,5,5,4,1,,,28,9,10,9,21,43,2,,,2,0,61,16,24,21,37,79,61,5,25,18,18,4,1,49,No Data Collected
718,35,48,33,39,35,87,5,6,4,5,6,3,4,3,7,5,6,3,2,6,6,6,6,2,3,2,1,1,1,2,3,2,Voice,18,MALE,1,,5,1,6,3,2,6,5,5,2,6,6,5,4,4,6,7,7,3,7,6,7,2,4,6,1,4,7,7,5,7,5,4,7,7,6,3,5,7,15,10,12,9,11,18,male,right,No,Normal,146,9,11,5,2,0,2,,,30,10,7,13,20,46,9,,,1,8,47,12,17,18,25,71,55,4,19,19,17,2,2,38,No Data Collected
719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,10,10,10,18,male,right,Yes,Corrected to Normal,147,13,15,5,2,1,1,,,39,11,14,14,38,46,5,,,3,2,64,21,22,21,52,76,68,3,21,22,25,3,0,50,No Data Collected
720,56,54,38,28,39,95,7,7,3,6,5,5,6,2,7,7,7,3,2,6,4,6,8,2,2,1,2,2,1,2,2,1,Percussion,18,MALE,1,,7,5,6,7,7,7,6,7,4,6,6,6,6,6,7,6,6,5,6,1,6,6,6,6,7,4,7,5,2,2,5,3,7,7,7,6,6,6,15,11,10,11,11,18,male,right,No,Normal,148,10,13,5,0,0,0,,,38,10,14,14,33,48,2,,,0,2,75,25,25,25,75,79,63,5,20,21,22,2,3,37,No Data Collected
721,52,57,42,39,42,111,5,5,4,5,5,7,7,5,6,6,5,6,3,7,4,6,6,2,3,2,3,2,2,2,3,2,Piano,20,Female,1,,7,4,7,7,5,7,5,5,5,6,7,6,6,7,7,7,7,4,7,7,7,6,6,7,2,6,7,7,7,5,5,2,7,7,7,7,7,7,6,10,4,6,7,20,female,right,No,Corrected to Normal,149,8,15,3,16,10,6,,,11,5,2,4,2,31,3,,,1,2,75,25,25,25,75,78,60,6,19,20,21,4,2,41,"{SHIFT}I{SPACE}used{SPACE}my{SPACE}fingers{SPACE}as{SPACE}if{SPACE}{SHIFT}I{SPACE}were{SPACE}playing{SPACE}piano{SPACE}with{SPACE}the{SPACE}low{SPACE}being{SPACE}my{SPACE}left{SPACE}pinkie{,}{SPACE}the{SPACE}middle{SPACE}being{SPACE}my{SPACE}left{SPACE}middle{SPACE}finger{,}{SPACE}and{SPACE}the{SPACE}high{SPACE}being{SPACE}my{SPACE}left{SPACE}thumb{SPACE}pressing{SPACE}them{SPACE}on{SPACE}the{SPACE}table{SPACE}when{SPACE}i{SPACE}heard{SPACE}the{SPACE}sounds{.}{SPACE}{ENTER}"
722,61,63,38,41,42,116,7,4,3,5,4,7,3,1,4,7,4,3,5,5,1,8,6,2,2,2,2,2,2,2,2,2,Piano,22,MALE,1,,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,6,7,6,6,2,6,5,7,7,7,7,3,6,4,7,7,7,7,7,7,16,11,11,10,12,22,male,right,No,Normal,150,14,15,5,1,1,0,,,39,11,14,14,37,47,2,,,0,2,73,23,25,25,69,79,69,9,22,22,25,6,3,61,{ENTER}
723,53,54,45,35,37,103,6,5,4,6,4,6,4,4,6,5,7,3,4,7,6,5,5,2,4,4,2,4,4,2,4,4,clarinet,21,FEMALE,0,wellbutrin  vyvanse,7,4,7,6,5,7,7,6,4,6,7,3,7,6,7,7,6,5,6,7,7,6,5,7,7,6,7,6,1,2,7,6,7,6,7,4,6,7,13,10,10,10,10,21,female,right,No,Normal,151,8,11,5,2,0,2,,,32,9,13,10,18,46,17,,,10,7,38,15,19,4,29,64,61,6,16,20,25,4,2,47,"{SHIFT}I{SPACE}repeated{SPACE}the{SPACE}order{SPACE}of{SPACE}the{SPACE}pitches{SPACE}while{SPACE}solving{SPACE}the{SPACE}math{SPACE}problems{.}{SPACE}{SHIFT}I{SPACE}was{SPACE}solving{SPACE}the{SPACE}math{SPACE}problems{SPACE}in{SPACE}the{SPACE}back{SPACE}of{SPACE}my{SPACE}mind{,}{SPACE}not{SPACE}putting{SPACE}as{SPACE}much{SPACE}effort{SPACE}into{SPACE}that{SPACE}as{SPACE}much{SPACE}as{SPACE}{SHIFT}I{SPACE}was{SPACE}memorizing{SPACE}the{SPACE}pitches{.}{ENTER}"
724,51,48,40,23,39,89,7,7,1,4,4,7,7,4,7,7,6,6,4,7,3,4,8,1,1,1,1,1,1,1,1,1,PercussionnPercussion,19,Male,1,,7,2,6,7,6,7,6,6,4,6,6,5,6,6,6,6,2,5,7,7,6,7,2,6,5,2,6,3,3,1,5,3,6,7,7,6,6,7,16,10,10,10,8,19,male,right,No,Normal,152,8,15,5,3,3,0,,,32,13,12,7,22,45,4,,,0,4,61,21,20,20,42,77,62,6,20,23,19,5,1,43,{ENTER}
725,50,56,36,30,29,95,5,4,2,3,5,4,6,1,5,5,5,4,5,4,1,1,1,2,5,3,2,5,3,2,5,3,Euphonium,20,MALE,1,,7,3,6,7,6,6,6,7,2,6,6,6,6,6,7,6,6,7,6,7,4,5,5,5,4,2,5,6,4,6,5,2,6,4,3,6,4,6,16,10,10,10,9,20,male,right,No,Corrected to Normal,153,10,12,5,3,2,1,,,38,13,13,12,29,44,5,,,3,2,66,19,25,22,55,76,67,4,22,25,20,1,3,62,"{SHIFT}For{SPACE}the{SPACE}most{SPACE}part{SPACE}{SHIFT}I{SPACE}could{SPACE}remember{SPACE}the{SPACE}shape{SPACE}of{SPACE}the{SPACE}line{SPACE}between{SPACE}tones{.}{SPACE}{SHIFT}{SHIFT}The{SPACE}pattern{SPACE}of{SPACE}{SHIFT}Low{SPACE}{SHIFT}High{SPACE}{SHIFT}Middle{SPACE}{SHIFT}I{SPACE}remember{SPACE}as{SPACE}{SHIFT}the{SPACE}{SHIFT}NBC{SPACE}tune{.}{SPACE}{SHIFT}But{SPACE}{SHIFT}I{SPACE}for{SPACE}the{SPACE}most{SPACE}part{SPACE}just{SPACE}got{SPACE}the{SPACE}contour{SPACE}of{SPACE}the{SPACE}series{,}{SPACE}which{SPACE}is{SPACE}simple{SPACE}with{SPACE}only{SPACE}three{SPACE}tones{.}{SPACE}{SHIFT}It{SPACE}would{SPACE}be{SPACE}much{SPACE}more{SPACE}difficult{SPACE}if{SPACE}there{SPACE}were{SPACE}any{SPACE}more{.}{SPACE}{SHIFT}{ENTER}"
726,57,60,41,30,39,100,7,6,1,1,4,1,1,4,2,6,5,3,3,5,3,5,5,2,5,3,2,5,3,2,5,3,piano,25,male,1,none,7,5,6,7,6,7,6,7,6,6,6,7,7,7,7,7,6,7,7,7,7,6,5,7,2,2,7,6,4,2,6,3,7,7,7,5,6,7,14,7,7,8,5,25,male,right,No,Corrected to Normal,154,7,11,5,0,0,0,,,22,6,6,10,13,48,6,,,2,4,58,20,18,20,37,75,58,3,16,20,22,3,0,33,{SHIFT}I{SPACE}sped{SPACE}up{SPACE}the{SPACE}tones{SPACE}in{SPACE}my{SPACE}head{SPACE}to{SPACE}bunch{SPACE}them{SPACE}together{.}{SPACE}{SHIFT}I{SPACE}also{SPACE}used{SPACE}my{SPACE}fingers{SPACE}to{SPACE}feel{SPACE}the{SPACE}pattern{SPACE}in{SPACE}an{SPACE}imaginary{SPACE}piano{SPACE}on{SPACE}the{SPACE}desk{.}{SPACE}{ENTER}
727,56,53,39,39,36,106,6,5,5,5,5,4,4,6,5,5,5,5,1,5,5,8,6,2,4,1,2,4,1,2,4,1,Voice,19,FEMALE,1,,7,4,6,7,6,7,6,7,6,6,6,6,5,6,6,6,6,6,7,7,6,5,4,7,3,5,7,7,6,7,5,2,6,6,7,5,6,6,9,12,10,9,8,19,female,right,No,Normal,155,11,14,5,3,2,1,,,23,10,8,5,15,45,10,,,2,8,38,16,8,14,7,70,69,6,22,22,25,4,2,58,"{SHIFT}I{SPACE}had{SPACE}a{SPACE}counting{SPACE}system{SPACE}for{SPACE}the{SPACE}tones{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{.}{SPACE}{SHIFT}A{SPACE}finger{SPACE}folded{SPACE}in{SPACE}was{SPACE}{SHIFT}low{,}{SPACE}bent{SPACE}was{SPACE}medium{,}{SPACE}stretched{SPACE}was{SPACE}high{ENTER}"
728,44,55,36,42,41,106,7,7,2,2,6,4,7,5,6,5,6,4,2,6,1,8,6,1,1,1,1,1,1,1,1,1,guitar,29,MALE,0,VYVANSE,5,2,7,5,3,7,7,4,4,6,5,6,6,6,7,6,7,6,7,7,6,6,3,4,3,6,7,6,6,7,7,3,7,7,7,6,7,7,16,8,10,8,8,29,male,right,No,Normal,156,9,11,5,2,2,0,,,26,7,7,12,15,46,2,,,0,2,72,23,24,25,61,79,63,3,17,21,25,2,1,50,"i{SPACE}used{SPACE}visual{SPACE}references{,}{SPACE}so{SPACE}low{SPACE}was{SPACE}left{,}{SPACE}mid{SPACE}was{SPACE}middle{SPACE}and{SPACE}high{SPACE}was{SPACE}right{.}{SPACE}{SHIFT}{SHIFT}{SHIFT}{SHIFT}{SHIFT}MLH{SPACE}was{SPACE}easier{SPACE}to{SPACE}remember{SPACE}as{SPACE}middle{,}{SPACE}left{,}{SPACE}right{ENTER}"
729,50,59,40,40,39,108,7,7,5,2,5,4,7,4,5,7,7,4,7,7,8,6,8,2,2,1,2,3,1,2,2,1,guitar,23,MALE,1,,6,4,6,6,5,7,5,4,7,6,7,6,7,6,7,7,6,7,6,6,6,6,4,5,7,5,7,5,7,4,6,6,7,5,7,7,6,7,16,11,12,9,11,23,male,right,No,Normal,157,8,11,5,1,1,0,,,40,14,12,14,38,47,1,,,0,1,70,25,22,23,59,80,74,4,25,25,24,3,1,68,{SHIFT}{SHIFT}I{SPACE}just{SPACE}tried{SPACE}to{SPACE}remember{SPACE}patterns{SPACE}in{SPACE}the{SPACE}melodies{SPACE}if{SPACE}any{SPACE}patterns{SPACE}existed{.}{ENTER}
730,53,52,36,33,40,96,7,5,4,4,6,6,7,4,7,6,5,6,3,6,5,6,7,1,1,1,1,1,1,1,1,1,clarinet,18,female,1,na,6,5,6,6,6,6,7,5,6,5,4,6,6,7,7,7,5,5,6,6,6,4,5,6,3,5,7,5,5,2,7,2,6,7,7,6,7,7,13,8,12,10,10,18,female,right,No,Normal,158,8,10,5,7,7,0,,,28,7,10,11,20,37,5,,,2,3,59,23,18,18,35,76,56,9,17,17,22,6,3,32,{CAPSLOCK}I{CAPSLOCK}{SPACE}tried{SPACE}to{SPACE}hum{SPACE}the{SPACE}tones{SPACE}{ENTER}
731,48,56,43,44,38,113,5,6,2,4,7,3,5,7,7,7,5,3,6,6,6,6,6,3,1,2,3,1,2,3,1,5,voice,18,FEMALE,1,,6,6,6,6,3,7,7,4,3,7,6,6,7,6,6,6,6,6,7,7,7,6,6,7,3,6,6,7,7,7,6,5,6,6,6,6,7,7,11,8,9,11,9,18,female,right,No,Corrected to Normal,159,10,13,5,1,0,1,,,24,7,8,9,14,46,5,,,0,5,57,15,18,24,43,75,61,7,19,22,20,6,1,42,"i{SPACE}associated{SPACE}the{SPACE}tones{SPACE}with{SPACE}different{SPACE}fingers{SPACE}on{SPACE}my{SPACE}left{SPACE}hand{-}{SPACE}low{SPACE}was{SPACE}my{SPACE}pointer{SPACE}finger{,}{SPACE}middle{SPACE}was{SPACE}my{SPACE}middle{SPACE}finger{,}{SPACE}and{SPACE}high{SPACE}was{SPACE}my{SPACE}ring{SPACE}finger{-}{SPACE}and{SPACE}pressed{SPACE}down{SPACE}the{SPACE}appropriate{SPACE}finger{SPACE}when{SPACE}that{SPACE}tone{SPACE}was{SPACE}playing{SPACE}like{SPACE}on{SPACE}a{SPACE}piano{SPACE}and{SPACE}{CAPSLOCK}I{CAPSLOCK}{SPACE}tapped{SPACE}out{SPACE}the{SPACE}pattern{SPACE}inbetween{SPACE}the{SPACE}math{SPACE}questions{SPACE}to{SPACE}remember{SPACE}them{.}{ENTER}"
732,50,49,37,35,37,101,6,6,4,4,6,6,7,6,7,6,5,5,4,4,2,5,8,2,2,1,1,1,1,2,2,1,bassoon,18,FEMALE,1,,6,6,6,6,2,7,7,7,3,5,3,6,6,6,7,6,6,4,7,7,6,5,2,6,4,5,4,6,6,3,6,5,6,7,6,5,6,7,16,10,8,9,7,1,female,right,No,Corrected to Normal,160,11,14,5,2,1,1,,,36,10,14,12,32,46,4,,,2,2,71,25,22,24,63,77,71,3,24,22,25,2,1,55,"associated{SPACE}the{SPACE}note{SPACE}patterns{SPACE}with{SPACE}finger{SPACE}patterns{.}{SPACE}the{SPACE}fingers{SPACE}became{SPACE}secondary{,}{SPACE}which{SPACE}allowed{SPACE}me{SPACE}to{SPACE}focus{SPACE}on{SPACE}the{SPACE}math{.}{ENTER}"
